Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Lake Taylor Station,4521,H22721,-42.78135,172.27581,640,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Lake Taylor Station,20051213,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051214,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051215,0800,0.9,-,-,-,24,D
Lake Taylor Station,20051216,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051217,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051218,0800,2.2,-,-,-,24,D
Lake Taylor Station,20051219,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051220,0800,3.3,-,-,-,24,D
Lake Taylor Station,20051221,0800,6.5,-,-,-,24,D
Lake Taylor Station,20051222,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051223,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051224,0800,0.5,-,-,-,24,D
Lake Taylor Station,20051225,0800,0.5,-,-,-,24,D
Lake Taylor Station,20051226,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051227,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051228,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051229,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051230,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051231,0800,0.0,-,-,-,24,D
